District,State,Region,Season,CurrentCrop,RecommendedCrop,TopCropOptions,Latitude,Longitude,ConsensusRisk,RiskLevel,RecommendationSummary
Agartala,Tripura,Humid East,Rabi,Mustard,Wheat,"Wheat (67.5%), Mustard (18.9%), Chickpea (10.6%)",23.8315,91.2868,0.7035656891980799,High,High alert: prioritize crop protection and weekly field scouting. Cold stress is possible; use tolerant varieties or adjust sowing windows. Better fit detected: consider Wheat for this district-season profile.
Agra,Uttar Pradesh,Indo Gangetic Plains,Kharif,Rice,Maize,"Maize (51.5%), Rice (29.6%), Soybean (7.4%)",27.1767,78.0081,0.6577292768077247,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Maize for this district-season profile.
Ahmedabad,Gujarat,Semi Arid West,Kharif,Rice,Cotton,"Cotton (55.5%), Maize (26.6%), Soybean (10.1%)",23.0225,72.5714,0.8124590805795256,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Cotton for this district-season profile.
Aizawl,Mizoram,Humid East,Rabi,Wheat,Wheat,"Wheat (66.8%), Mustard (20.4%), Chickpea (9.4%)",23.7271,92.7176,0.8405421440065715,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Cold stress is possible; use tolerant varieties or adjust sowing windows.
Ajmer,Rajasthan,Northwest Dryland,Kharif,Rice,Maize,"Maize (51.3%), Soybean (25.1%), Cotton (16.0%)",26.4499,74.6399,0.7925297608595276,High,High alert: prioritize crop protection and weekly field scouting. Increase irrigation scheduling or moisture conservation practices. Better fit detected: consider Maize for this district-season profile.
Amritsar,Punjab,Northwest Irrigated,Zaid,Groundnut,Millet,"Millet (71.3%), Groundnut (26.4%), Mustard (0.8%)",31.634,74.8723,0.5613540585647023,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Millet for this district-season profile.
Asansol,West Bengal,Humid East,Kharif,Soybean,Rice,"Rice (68.1%), Maize (12.7%), Soybean (6.0%)",23.6739,86.9524,0.7280587192300504,High,High alert: prioritize crop protection and weekly field scouting. Improve field drainage and watch for waterlogging. Heat stress risk is elevated; avoid sensitive field operations during peak heat. Better fit detected: consider Rice for this district-season profile.
Aurangabad,Maharashtra,Western Plateau,Zaid,Millet,Millet,"Millet (62.7%), Groundnut (33.2%), Chickpea (2.5%)",19.8762,75.3433,0.6798341280648224,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Increase irrigation scheduling or moisture conservation practices. Heat stress risk is elevated; avoid sensitive field operations during peak heat.
Belagavi,Karnataka,Southern Plateau,Kharif,Cotton,Soybean,"Soybean (34.1%), Cotton (23.1%), Maize (22.3%)",15.8497,74.4977,0.5399014864601165,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Improve field drainage and watch for waterlogging. Better fit detected: consider Soybean for this district-season profile.
Bengaluru,Karnataka,Southern Plateau,Kharif,Cotton,Maize,"Maize (70.7%), Soybean (12.6%), Rice (7.2%)",12.9716,77.5946,0.6873211969104905,Medium,Moderate alert: monitor the field closely and prepare contingency inputs. Better fit detected: consider Maize for this district-season profile.
